"ASevents","GeneID","geneSymbol","chr","strand","start","end","PValue","FDR","IncLevelDifference","WT","KI","location"
"se","ENSMUSG00000037636","Slc25a43","chrX","+",36752132,36752374,0.00161492871002,0.00893289695132,0.103,1,0.897333333333333,"chrX:36752132-36752374"
"se","ENSMUSG00000038708","Golga4","chr9","+",118519085,118519184,0.000518629484333,0.00343351927128,0.029,0.037,0.008,"chr9:118519085-118519184"
"se","ENSMUSG00000038708","Golga4","chr9","+",118537241,118537325,3.58830573655e-05,0.000373006876344,-0.132,0.768,0.899666666666667,"chr9:118537241-118537325"
"se","ENSMUSG00000038708","Golga4","chr9","+",118548034,118548169,7.1379675175e-05,0.000656509372625,0.029,0.0293333333333333,0,"chr9:118548034-118548169"
"se","ENSMUSG00000038708","Golga4","chr9","+",118567180,118567249,9.46989111283e-05,0.000837270749196,0.035,1,0.965333333333333,"chr9:118567180-118567249"
"se","ENSMUSG00000038708","Golga4","chr9","+",118567190,118567249,1.54581755285e-07,4.08041246495e-06,0.138,1,0.862333333333333,"chr9:118567190-118567249"
"se","ENSMUSG00000037348","Paqr7","chr4","+",134500599,134500683,1.44328993201e-15,4.47828357206e-13,0.146,0.145666666666667,0,"chr4:134500599-134500683"
"se","ENSMUSG00000040483","Xaf1","chr11","+",72304665,72304861,0.00258408500614,0.0132219284151,0.213,0.918333333333333,0.705333333333333,"chr11:72304665-72304861"
"se","ENSMUSG00000025144","Cenpx","chr11","-",120711843,120711895,1.49821841477e-06,2.68976002521e-05,-0.063,0.936666666666667,1,"chr11:120711843-120711895"
"se","ENSMUSG00000025144","Cenpx","chr11","-",120712439,120712539,2.9245522859e-07,6.9186596813e-06,0.045,0.045,0,"chr11:120712439-120712539"
"se","ENSMUSG00000025144","Cenpx","chr11","-",120712439,120712712,2.72701166156e-05,0.000296794882689,0.033,0.0466666666666667,0.0133333333333333,"chr11:120712439-120712712"
"se","ENSMUSG00000066877","Nck2","chr1","+",43553860,43554582,9.87587308598e-07,1.9062057852e-05,0.055,1,0.945,"chr1:43553860-43554582"
"se","ENSMUSG00000002372","Ranbp3","chr17","+",56691744,56691882,0.00729464500493,0.0321985056044,0.034,0.0873333333333333,0.053,"chr17:56691744-56691882"
"se","ENSMUSG00000066026","Dhrs3","chr4","+",144893584,144893709,0.000210375158987,0.00161212464564,-0.048,0.942333333333333,0.990666666666667,"chr4:144893584-144893709"
"se","ENSMUSG00000020196","Cabin1","chr10","-",75658633,75658797,3.83604189415e-05,0.000392958298599,0.11,1,0.890333333333333,"chr10:75658633-75658797"
"se","ENSMUSG00000042396","Rbm7","chr9","-",48490847,48490938,2.18323940715e-06,3.65614786666e-05,-0.053,0.926666666666667,0.98,"chr9:48490847-48490938"
"se","ENSMUSG00000025474","Tubgcp2","chr7","-",139997971,139998100,0.000158909700173,0.00128164297172,-0.112,0.888333333333333,1,"chr7:139997971-139998100"
"se","ENSMUSG00000025474","Tubgcp2","chr7","-",140029826,140029986,0.00687065803213,0.0306034591924,-0.031,0.969333333333333,1,"chr7:140029826-140029986"
"se","ENSMUSG00000040345","Arhgap9","chr10","+",127324344,127324459,0.00924131389792,0.0395867171272,-0.2,0.525333333333333,0.725,"chr10:127324344-127324459"
"se","ENSMUSG00000079334","Naa80","chr9","+",107579099,107580935,2.85042893559e-05,0.000309078761169,0.044,1,0.956333333333333,"chr9:107579099-107580935"
"se","ENSMUSG00000059743","Fdps","chr3","-",89100920,89101136,6.52589093875e-13,1.10235024057e-10,0.068,0.0723333333333333,0.00466666666666667,"chr3:89100920-89101136"
"se","ENSMUSG00000036879","Phkb","chr8","+",85848673,85848731,0.0056052461723,0.0258128889945,-0.102,0.0573333333333333,0.159,"chr8:85848673-85848731"
"se","ENSMUSG00000014195","Dnajc7","chr11","-",100589674,100589778,5.55111512313e-16,1.86302220816e-13,0.038,0.0383333333333333,0.000666666666666667,"chr11:100589674-100589778"
"se","ENSMUSG00000014195","Dnajc7","chr11","-",100589678,100589778,0,0,0.056,0.0616666666666667,0.00566666666666667,"chr11:100589678-100589778"
"se","ENSMUSG00000038388","Mpp6","chr6","+",50176876,50176918,3.31956684363e-14,7.79861096336e-12,-0.046,0,0.0456666666666667,"chr6:50176876-50176918"
"se","ENSMUSG00000056342","Usp34","chr11","+",23343319,23343370,2.97686968409e-08,1.03498143668e-06,0.054,1,0.946333333333333,"chr11:23343319-23343370"
"se","ENSMUSG00000056342","Usp34","chr11","+",23382553,23382667,2.01674621447e-09,1.05959717243e-07,0.038,0.990666666666667,0.953,"chr11:23382553-23382667"
"se","ENSMUSG00000056342","Usp34","chr11","+",23473169,23473294,5.21154939952e-05,0.000505598799265,-0.258,0.579,0.837,"chr11:23473169-23473294"
"se","ENSMUSG00000027843","Ptpn22","chr3","+",103875732,103875804,0.00695764547992,0.0309072068928,0.031,1,0.969333333333333,"chr3:103875732-103875804"
"se","ENSMUSG00000050912","Tmem123","chr9","+",7785210,7785326,1.22604892955e-05,0.000152977045876,-0.012,0.00933333333333333,0.0213333333333333,"chr9:7785210-7785326"
"se","ENSMUSG00000050912","Tmem123","chr9","+",7789299,7789385,0.0109918943717,0.0457392973033,0.013,0.017,0.004,"chr9:7789299-7789385"
"se","ENSMUSG00000050912","Tmem123","chr9","+",7789299,7789385,1.71730407672e-11,1.88273770278e-09,0.626,0.708666666666667,0.0823333333333333,"chr9:7789299-7789385"
