ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
189	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1099581	1099752	1096860	1098573	1102764	1102891	189	219,0,216	0,0,25	2,90,197	0,0,0	320	149	1	1.0	1.0,NA,0.801	1.0,1.0,1.0	-0.099
190	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1137657	1137732	1136847	1136996	1137806	1137871	190	159,0,149	0,0,1	0,83,140	0,35,0	224	149	1	1.0	1.0,NA,0.99	NA,0.612,1.0	0.189
193	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1169122	1169257	1168089	1168185	1169964	1170184	193	146,0,135	2,0,0	0,67,129	0,0,0	284	149	1	1.0	0.975,NA,1.0	NA,1.0,1.0	-0.012
195	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1226694	1226826	1224496	1224546	1239710	1239819	195	0,0,6	51,0,30	0,0,0	0,60,0	281	149	1	1.0	0.0,NA,0.096	NA,0.0,NA	0.048
197	"ENSMUSG00000068457.14"	"Uty"	chrY	-	1239991	1240147	1239710	1239819	1245155	1245219	197	14,0,0	52,0,54	0,0,0	0,49,19	305	149	1	1.0	0.116,NA,0.0	NA,0.0,0.0	0.058
198	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1013378	1013473	1012047	1012169	1014633	1014792	198	206,0,127	20,0,7	0,154,146	0,16,0	244	149	1	1.0	0.863,NA,0.917	NA,0.855,1.0	-0.037
199	"ENSMUSG00000069049.11"	"Eif2s3y"	chrY	+	1019985	1020155	1016056	1017508	1023301	1023474	199	641,0,511	43,0,1	0,250,612	0,22,0	319	149	1	1.0	0.874,NA,0.996	NA,0.841,1.0	0.015
202	"ENSMUSG00000031358.17"	"Msl3"	chrX	-	168656962	168657047	168654116	168654968	168658614	168658714	202	407,140,291	0,0,0	271,106,183	4,0,0	234	149	1	1.0	1.0,1.0,1.0	0.977,1.0,1.0	0.008
203	"ENSMUSG00000031358.17"	"Msl3"	chrX	-	168669489	168669615	168668630	168668791	168670219	168670311	203	750,420,325	0,0,2	497,378,492	0,0,0	275	149	1	1.0	1.0,1.0,0.989	1.0,1.0,1.0	-0.004
204	"ENSMUSG00000031358.17"	"Msl3"	chrX	-	168672262	168672345	168671794	168671890	168673727	168673898	204	90,24,51	222,78,137	77,34,35	188,115,277	232	149	0.0288860840516	0.09940066565651069	0.207,0.165,0.193	0.208,0.16,0.075	0.041
206	"ENSMUSG00000025742.5"	"Prps2"	chrX	-	167352135	167352309	167350514	167350674	167363544	167363669	206	749,195,419	4,0,0	745,406,946	0,0,0	323	149	1	1.0	0.989,1.0,1.0	1.0,1.0,1.0	-0.004
210	"ENSMUSG00000061778.10"	"Mospd2"	chrX	-	164964981	164965137	164963926	164964013	164979993	164980063	210	137,44,100	0,5,0	118,74,45	0,0,0	305	149	0.433459997925	0.9118366666464514	1.0,0.811,1.0	1.0,1.0,1.0	-0.063
217	"ENSMUSG00000031360.14"	"Ctps2"	chrX	+	162902575	162902676	162901784	162901914	162903433	162903570	217	0,0,0	21,28,39	8,0,0	43,41,97	250	149	0.316889307944	0.7130893113368957	0.0,0.0,0.0	0.1,0.0,0.0	-0.033
219	"ENSMUSG00000031360.14"	"Ctps2"	chrX	+	162903433	162903638	162901631	162901747	162910008	162910179	219	484,268,510	3,0,0	565,461,321	0,0,0	354	149	1	1.0	0.985,1.0,1.0	1.0,1.0,1.0	-0.005
220	"ENSMUSG00000031360.14"	"Ctps2"	chrX	+	162903433	162903638	162901768	162901914	162910008	162910179	220	335,170,397	7,6,0	423,434,347	2,6,0	354	149	0.0684174355006	0.20587646500376106	0.953,0.923,1.0	0.989,0.968,1.0	-0.027
228	"ENSMUSG00000000037.17"	"Scml2"	chrX	+	161255029	161255181	161246256	161246367	161256565	161258196	228	1,0,10	7,0,0	8,0,0	10,9,0	301	149	1	1.0	0.066,NA,1.0	0.284,0.0,NA	0.391
235	"ENSMUSG00000031298.15"	"Adgrg2"	chrX	+	160492599	160492752	160491397	160491499	160496304	160498070	235	9,0,0	14,0,0	3,0,0	0,0,0	302	149	1	1.0	0.241,NA,NA	1.0,NA,NA	-0.759
237	"ENSMUSG00000040990.17"	"Sh3kbp1"	chrX	+	159817241	159817298	159816576	159816706	159828373	159828579	237	0,4,32	364,187,333	0,0,0	507,314,680	206	149	9.86472874431e-06	0.00012853117282247913	0.0,0.015,0.065	0.0,0.0,0.0	0.027
238	"ENSMUSG00000040990.17"	"Sh3kbp1"	chrX	+	159824474	159824549	159816576	159816706	159828373	159828579	238	19,5,0	364,187,333	0,0,0	507,314,680	224	149	0.0821998234929	0.240069299918913	0.034,0.017,0.0	0.0,0.0,0.0	0.017
241	"ENSMUSG00000040990.17"	"Sh3kbp1"	chrX	+	159917235	159917316	159913988	159914040	159919757	159919917	241	375,197,189	0,0,0	497,340,224	0,0,39	230	149	6.88291500872e-06	9.57509853120345e-05	1.0,1.0,1.0	1.0,1.0,0.788	0.071
243	"ENSMUSG00000040990.17"	"Sh3kbp1"	chrX	+	159961764	159961893	159958212	159958322	159966213	159966482	243	634,192,240	10,34,4	385,352,170	36,4,37	278	149	0.0907739547721	0.26086197579539205	0.971,0.752,0.97	0.851,0.979,0.711	0.051
247	"ENSMUSG00000046873.18"	"Mbtps2"	chrX	-	157593724	157593873	157591056	157591555	157598495	157598643	247	138,68,135	34,26,6	67,61,196	34,31,0	298	149	0.78804131657	1.0	0.67,0.567,0.918	0.496,0.496,1.0	0.054
249	"ENSMUSG00000025287.15"	"Acot9"	chrX	+	155264035	155264093	155262504	155262674	155269658	155269753	249	14,0,0	113,25,55	6,0,0	31,13,180	207	149	0.0300821307606	0.10288101469491913	0.082,0.0,0.0	0.122,0.0,0.0	-0.013
250	"ENSMUSG00000025287.15"	"Acot9"	chrX	+	155273391	155273429	155272971	155273142	155281610	155281694	250	167,50,97	0,0,0	150,53,172	0,0,9	187	149	0.143667311453	0.38066285390443233	1.0,1.0,1.0	1.0,1.0,0.938	0.021
251	"ENSMUSG00000025287.15"	"Acot9"	chrX	+	155295421	155295512	155295162	155295274	155295682	155295768	251	261,64,102	0,0,4	132,131,390	0,0,0	240	149	0.895551599536	1.0	1.0,1.0,0.941	1.0,1.0,1.0	-0.02
254	"ENSMUSG00000086316.8"	"Nbdy"	chrX	+	153725704	153725841	153723589	153723937	153741039	153741920	254	135,49,72	0,0,4	118,77,219	0,0,0	286	149	0.658593769428	1.0	1.0,1.0,0.904	1.0,1.0,1.0	-0.032
256	"ENSMUSG00000086316.8"	"Nbdy"	chrX	+	153728861	153728939	153725704	153725841	153741039	153741084	256	285,157,83	45,0,36	100,227,298	6,0,60	227	149	0.221059203335	0.5373008739355893	0.806,1.0,0.602	0.916,1.0,0.765	-0.091
257	"ENSMUSG00000041633.14"	"Kctd12b"	chrX	-	153695623	153695678	153685153	153689697	153696084	153696280	257	10,5,8	0,11,0	14,15,0	18,0,0	204	149	1	1.0	1.0,0.249,1.0	0.362,1.0,NA	0.069
259	"ENSMUSG00000087403.9"	"Kantr"	chrX	-	152320209	152320284	152298728	152298874	152327160	152327239	259	25,8,31	100,46,39	12,21,19	28,70,32	224	149	0.614518519457	1.0	0.143,0.104,0.346	0.222,0.166,0.283	-0.026
260	"ENSMUSG00000025332.14"	"Kdm5c"	chrX	+	152239629	152239752	152237632	152237710	152240025	152240196	260	323,187,257	4,2,14	462,345,605	24,8,1	272	149	0.94142291725	1.0	0.978,0.981,0.91	0.913,0.959,0.997	0.0
261	"ENSMUSG00000025332.14"	"Kdm5c"	chrX	+	152267894	152268000	152267082	152267230	152268764	152269123	261	535,94,246	0,0,14	442,343,491	0,0,0	255	149	0.0266694776211	0.09304338506851122	1.0,1.0,0.911	1.0,1.0,1.0	-0.03
262	"ENSMUSG00000025332.14"	"Kdm5c"	chrX	+	152270693	152270831	152270351	152270531	152271011	152271593	262	532,252,353	14,34,7	663,377,438	49,44,0	287	149	0.565081695701	1.0	0.952,0.794,0.963	0.875,0.816,1.0	0.006
263	"ENSMUSG00000025332.14"	"Kdm5c"	chrX	+	152271859	152271929	152271011	152271593	152272074	152272274	263	261,258,163	0,0,14	319,280,238	0,9,0	219	149	0.124024154624	0.3379020362524357	1.0,1.0,0.888	1.0,0.955,1.0	-0.022
264	"ENSMUSG00000025332.14"	"Kdm5c"	chrX	+	152271859	152271938	152271011	152271593	152272074	152272274	264	209,92,99	0,0,14	282,218,162	0,9,0	228	149	0.0372899955964	0.12294652480700706	1.0,1.0,0.822	1.0,0.941,1.0	-0.04
265	"ENSMUSG00000041133.11"	"Smc1a"	chrX	+	152058778	152058935	152047857	152047968	152059357	152059512	265	1557,529,1167	22,0,0	1803,1228,1623	0,0,0	306	149	0.496233796457	1.0	0.972,1.0,1.0	1.0,1.0,1.0	-0.009
266	"ENSMUSG00000025265.14"	"Fgd1"	chrX	+	151087967	151088111	151086819	151086981	151088602	151089521	266	150,50,42	0,0,0	134,127,292	28,0,0	293	149	0.000111176626127	0.0009359830824536531	1.0,1.0,1.0	0.709,1.0,1.0	0.097
273	"ENSMUSG00000031290.14"	"Lrch2"	chrX	-	147496766	147496832	147492038	147492087	147503383	147503491	273	22,16,16	5,16,9	59,0,73	10,9,0	215	149	0.417809742574	0.8874745242697796	0.753,0.409,0.552	0.803,0.0,1.0	-0.03
281	"ENSMUSG00000047045.17"	"Tmem164"	chrX	+	142682290	142682949	142681417	142681556	142752039	142752089	281	668,368,589	193,45,90	546,415,1007	138,151,185	808	149	0.113195293676	0.31373155497801203	0.39,0.601,0.547	0.422,0.336,0.501	0.093
282	"ENSMUSG00000047045.17"	"Tmem164"	chrX	+	142682290	142682949	142681417	142681556	142805989	142806068	282	548,311,556	0,0,1	439,287,923	0,0,0	808	149	1	1.0	1.0,1.0,0.99	1.0,1.0,1.0	-0.003
283	"ENSMUSG00000047045.17"	"Tmem164"	chrX	+	142752039	142752089	142681405	142681556	142770966	142771033	283	335,108,163	20,4,7	286,220,254	8,6,13	199	149	0.216694542739	0.5289221453818391	0.926,0.953,0.946	0.964,0.965,0.936	-0.013
284	"ENSMUSG00000047045.17"	"Tmem164"	chrX	+	142752039	142752089	142681405	142681556	142805989	142806068	284	38,3,13	0,0,1	45,20,1	0,0,0	199	149	1	1.0	1.0,1.0,0.907	1.0,1.0,1.0	-0.031
285	"ENSMUSG00000047045.17"	"Tmem164"	chrX	+	142752039	142752089	142682290	142682949	142805989	142806068	285	27,4,9	8,0,12	20,64,41	4,0,0	199	149	0.000150584862279	0.0012049028717505113	0.716,1.0,0.36	0.789,1.0,1.0	-0.238
286	"ENSMUSG00000047045.17"	"Tmem164"	chrX	+	142770966	142771033	142681414	142681556	142805989	142806068	286	250,37,107	0,0,1	134,81,268	0,0,0	216	149	1	1.0	1.0,1.0,0.987	1.0,1.0,1.0	-0.004
287	"ENSMUSG00000047045.17"	"Tmem164"	chrX	+	142770966	142771033	142752039	142752089	142805989	142806068	287	643,205,298	0,0,0	461,339,546	2,0,0	216	149	1	1.0	1.0,1.0,1.0	0.994,1.0,1.0	0.002
288	"ENSMUSG00000047045.17"	"Tmem164"	chrX	+	142805989	142806068	142682290	142682949	142832500	142832601	288	243,90,169	0,0,0	261,101,241	5,0,0	228	149	1	1.0	1.0,1.0,1.0	0.972,1.0,1.0	0.009
289	"ENSMUSG00000047045.17"	"Tmem164"	chrX	+	142805989	142806068	142770966	142771033	142832500	142832601	289	725,216,375	2,0,0	557,303,641	0,0,0	228	149	1	1.0	0.996,1.0,1.0	1.0,1.0,1.0	-0.001
296	"ENSMUSG00000031433.15"	"Rbm41"	chrX	-	139968195	139968599	139954906	139955054	139993297	139993502	296	201,82,64	0,0,0	142,108,65	0,0,16	553	149	0.000701740301979	0.0043078686700795295	1.0,1.0,1.0	1.0,1.0,0.523	0.159
297	"ENSMUSG00000031433.15"	"Rbm41"	chrX	-	139991515	139991587	139968195	139968599	139993297	139993502	297	9,0,16	24,18,22	0,0,0	11,4,0	221	149	1	1.0	0.202,0.0,0.329	0.0,0.0,NA	0.177
301	"ENSMUSG00000052854.15"	"Nrk"	chrX	+	138997441	138997584	138995880	138995981	138997819	138997969	301	14,0,0	23,0,0	0,0,0	7,0,0	292	149	1	1.0	0.237,NA,NA	0.0,NA,NA	0.237
303	"ENSMUSG00000051579.10"	"Tceal8"	chrX	-	136171419	136171521	136168983	136171049	136171635	136171705	303	0,2,0	116,45,48	0,0,0	71,41,141	251	149	1	1.0	0.0,0.026,0.0	0.0,0.0,0.0	0.009
305	"ENSMUSG00000072966.11"	"Gprasp2"	chrX	+	135840852	135840924	135840251	135840690	135841220	135841303	305	39,4,33	0,0,0	22,24,92	0,0,1	221	149	1	1.0	1.0,1.0,1.0	1.0,1.0,0.984	0.005
306	"ENSMUSG00000033436.13"	"Armcx2"	chrX	-	134807453	134807513	134807261	134807327	134807620	134807725	306	259,97,144	0,0,12	143,97,329	0,26,0	209	149	0.202551571285	0.5027404840895975	1.0,1.0,0.895	1.0,0.727,1.0	0.056
307	"ENSMUSG00000033436.13"	"Armcx2"	chrX	-	134808234	134808442	134807620	134807725	134808918	134808996	307	252,31,114	12,7,12	124,148,318	0,4,0	357	149	1.6466438213e-09	8.684700860117876e-08	0.898,0.649,0.799	1.0,0.939,1.0	-0.198
308	"ENSMUSG00000033436.13"	"Armcx2"	chrX	-	134808234	134808499	134807453	134807725	134808918	134809221	308	334,40,152	12,7,12	156,204,278	0,4,0	414	149	1.47431300501e-08	5.651766647946886e-07	0.909,0.673,0.82	1.0,0.948,1.0	-0.182
309	"ENSMUSG00000033460.14"	"Armcx1"	chrX	+	134718369	134718461	134717987	134718050	134718725	134718818	309	51,11,36	1,7,0	21,32,0	0,0,0	241	149	1	1.0	0.969,0.493,1.0	1.0,1.0,NA	-0.179
310	"ENSMUSG00000033460.14"	"Armcx1"	chrX	+	134718369	134718461	134717987	134718050	134718919	134718992	310	22,4,16	12,0,0	4,15,0	4,4,36	241	149	0.000659893373529	0.004089869107290527	0.531,1.0,1.0	0.382,0.699,0.0	0.483
311	"ENSMUSG00000033460.14"	"Armcx1"	chrX	+	134718369	134718818	134717987	134718050	134718919	134719313	311	77,21,26	12,0,0	17,15,0	4,4,36	598	149	6.89329638137e-06	9.57509853120345e-05	0.615,1.0,1.0	0.514,0.483,0.0	0.539
312	"ENSMUSG00000033460.14"	"Armcx1"	chrX	+	134718655	134718818	134718002	134718050	134718919	134719028	312	22,11,16	12,0,0	13,0,0	4,4,36	312	149	4.49143638548e-06	6.687019541075804e-05	0.467,1.0,1.0	0.608,0.0,0.0	0.62
313	"ENSMUSG00000033460.14"	"Armcx1"	chrX	+	134718725	134718818	134717962	134718050	134718919	134718992	313	19,18,16	12,0,0	13,0,0	4,4,36	242	149	4.19050715628e-06	6.350290609878208e-05	0.494,1.0,1.0	0.667,0.0,0.0	0.609
314	"ENSMUSG00000033460.14"	"Armcx1"	chrX	+	134718725	134718818	134718369	134718461	134718919	134718992	314	56,18,52	9,0,16	30,17,0	0,0,0	242	149	1	1.0	0.793,1.0,0.667	1.0,1.0,NA	-0.18
315	"ENSMUSG00000031264.13"	"Btk"	chrX	-	134545481	134545639	134542335	134542807	134546711	134546830	315	607,257,540	3,0,0	496,613,251	0,0,0	307	149	1	1.0	0.99,1.0,1.0	1.0,1.0,1.0	-0.003
316	"ENSMUSG00000031264.13"	"Btk"	chrX	-	134547561	134547626	134546711	134546830	134549414	134549631	316	536,162,133	6,1,10	258,313,327	0,0,0	214	149	0.00525612076656	0.023420356999313042	0.984,0.991,0.903	1.0,1.0,1.0	-0.041
317	"ENSMUSG00000031264.13"	"Btk"	chrX	-	134573208	134573307	134568904	134568973	134573916	134574087	317	557,201,467	9,0,10	390,426,451	0,3,0	248	149	0.00982902031967	0.03967747847402554	0.974,1.0,0.966	1.0,0.988,1.0	-0.016
321	"ENSMUSG00000031262.12"	"Cenpi"	chrX	+	134308565	134308633	134308083	134308228	134308726	134308847	321	36,10,12	0,0,0	31,2,13	20,0,0	217	149	9.96008978738e-05	0.0008532159717543834	1.0,1.0,1.0	0.516,1.0,1.0	0.161
