ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2	"ENSMUSG00000037636"	"Slc25a43"	chrX	+	36752132	36752374	36743658	36744018	36757767	36757940	2	29,38,12	0,0,0	36,31,41	8,0,0	381	139	0.00124270217558	0.00707291763833	1.0,1.0,1.0	0.621,1.0,1.0	0.126
5	"ENSMUSG00000038708"	"Golga4"	chr9	+	118519085	118519184	118514179	118514269	118522517	118522583	5	6,0,16	142,126,99	0,0,4	197,95,95	238	139	0.000530102617947	0.00346387022287	0.024,0.0,0.086	0.0,0.0,0.024	0.029
6	"ENSMUSG00000038708"	"Golga4"	chr9	+	118537241	118537325	118536758	118536943	118538876	118539024	6	201,81,93	52,20,8	226,214,205	15,12,18	223	139	3.6611972187e-05	0.000381750253155	0.707,0.716,0.879	0.904,0.917,0.877	-0.132
7	"ENSMUSG00000038708"	"Golga4"	chr9	+	118548034	118548169	118538876	118539024	118548622	118548801	7	16,0,6	144,52,88	0,0,0	181,90,20	274	139	7.32162249095e-05	0.000671386664073	0.053,0.0,0.033	0.0,0.0,0.0	0.029
8	"ENSMUSG00000038708"	"Golga4"	chr9	+	118566907	118566979	118565556	118565667	118568963	118569039	8	0,0,0	0,11,0	1,0,0	0,0,0	211	139	1	1.0	NA,0.0,NA	1.0,NA,NA	-1.0
9	"ENSMUSG00000038708"	"Golga4"	chr9	+	118566958	118566979	118565275	118565667	118568963	118569039	9	26,4,16	0,11,0	20,20,16	0,0,0	160	139	0.0133926495761	0.0530421106888	1.0,0.24,1.0	1.0,1.0,1.0	-0.253
10	"ENSMUSG00000038708"	"Golga4"	chr9	+	118567180	118567249	118566958	118566979	118568963	118569039	10	303,146,241	0,0,0	263,253,145	9,10,0	208	139	9.10945172707e-05	0.000809182813964	1.0,1.0,1.0	0.951,0.944,1.0	0.035
11	"ENSMUSG00000038708"	"Golga4"	chr9	+	118567190	118567249	118566907	118566979	118568963	118569039	11	92,40,42	0,0,0	46,58,58	9,10,0	198	139	1.53436495398e-07	4.0866742949e-06	1.0,1.0,1.0	0.782,0.803,1.0	0.138
12	"ENSMUSG00000038708"	"Golga4"	chr9	+	118576222	118576356	118572917	118573021	118577141	118577228	12	0,7,10	232,131,184	0,0,0	228,130,255	273	139	0.384792579217	0.838676622605	0.0,0.026,0.027	0.0,0.0,0.0	0.018
13	"ENSMUSG00000038708"	"Golga4"	chr9	+	118579541	118579606	118577141	118577228	118581848	118582519	13	0,0,5	144,97,212	0,0,0	228,205,230	204	139	1	1.0	0.0,0.0,0.016	0.0,0.0,0.0	0.005
14	"ENSMUSG00000108596"	"Gm49368"	chr7	+	128115767	128115875	128115118	128115194	128116017	128116101	14	220,26,124	0,0,0	80,36,165	2,0,0	247	139	1	1.0	1.0,1.0,1.0	0.957,1.0,1.0	0.014
16	"ENSMUSG00000038174"	"Fam126b"	chr1	-	58534484	58534652	58527020	58530259	58535389	58535549	16	12,0,26	115,23,19	26,0,0	18,23,131	307	139	0.218376929845	0.537452790857	0.045,0.0,0.383	0.395,0.0,0.0	0.011
18	"ENSMUSG00000038174"	"Fam126b"	chr1	-	58562639	58562787	58557976	58558057	58565856	58565954	18	0,18,10	88,20,40	1,0,62	48,55,131	287	139	0.753941733656	1.0	0.0,0.304,0.108	0.01,0.0,0.186	0.072
21	"ENSMUSG00000033594"	"Spata2l"	chr8	-	123235517	123235849	123232257	123234245	123236149	123236209	21	25,43,2	0,0,0	45,30,0	0,10,0	471	139	1	1.0	1.0,1.0,1.0	1.0,0.47,NA	0.265
22	"ENSMUSG00000037348"	"Paqr7"	chr4	+	134500599	134500683	134496974	134497036	134506802	134507546	22	8,16,20	114,32,67	0,0,0	132,45,195	223	139	1.44328993201e-15	4.56856774632e-13	0.042,0.238,0.157	0.0,0.0,0.0	0.146
23	"ENSMUSG00000037348"	"Paqr7"	chr4	+	134506522	134506717	134496974	134497036	134506802	134507215	23	6,0,3	114,32,67	0,0,2	132,45,195	334	139	0.75801610698	1.0	0.021,0.0,0.018	0.0,0.0,0.004	0.012
25	"ENSMUSG00000022940"	"Pigp"	chr16	-	94365354	94365473	94364446	94364787	94370088	94370192	25	320,138,136	0,0,2	102,29,157	0,0,0	258	139	1	1.0	1.0,1.0,0.973	1.0,1.0,1.0	-0.009
26	"ENSMUSG00000022940"	"Pigp"	chr16	-	94367560	94367633	94365354	94365473	94370088	94370192	26	421,194,273	0,0,0	180,133,209	0,0,2	212	139	1	1.0	1.0,1.0,1.0	1.0,1.0,0.986	0.005
28	"ENSMUSG00000051705"	"Senp8"	chr9	-	59739939	59740032	59734452	59737868	59750261	59750371	28	2,1,6	4,0,0	17,0,0	0,0,0	232	139	1	1.0	0.231,1.0,1.0	1.0,NA,NA	-0.256
29	"ENSMUSG00000051705"	"Senp8"	chr9	-	59739939	59740032	59734452	59737868	59750577	59750638	29	20,1,6	18,13,32	21,0,0	30,28,0	232	139	1	1.0	0.4,0.044,0.101	0.295,0.0,NA	0.034
30	"ENSMUSG00000051705"	"Senp8"	chr9	-	59739939	59740051	59737261	59737868	59750261	59750371	30	11,1,6	4,0,0	30,0,0	0,0,0	251	139	1	1.0	0.604,1.0,1.0	1.0,NA,NA	-0.132
31	"ENSMUSG00000051705"	"Senp8"	chr9	-	59739939	59740051	59737261	59737868	59750577	59750622	31	11,1,6	18,13,32	30,0,23	30,28,0	251	139	0.157315130374	0.413798233258	0.253,0.041,0.094	0.356,0.0,1.0	-0.323
32	"ENSMUSG00000051705"	"Senp8"	chr9	-	59750261	59750371	59734258	59737868	59750577	59750627	32	8,0,14	18,13,32	0,0,0	30,28,0	249	139	1	1.0	0.199,0.0,0.196	0.0,0.0,NA	0.132
33	"ENSMUSG00000051705"	"Senp8"	chr9	-	59750261	59750371	59739939	59740032	59750577	59750627	33	4,0,14	18,0,0	0,0,0	4,0,0	249	139	1	1.0	0.11,NA,1.0	0.0,NA,NA	0.555
34	"ENSMUSG00000051705"	"Senp8"	chr9	-	59750261	59750371	59739939	59740051	59750577	59750627	34	4,0,14	0,0,0	0,0,0	0,0,23	249	139	1	1.0	1.0,NA,1.0	NA,NA,0.0	1.0
35	"ENSMUSG00000036882"	"Arhgap33"	chr7	-	30534102	30534185	30532934	30533032	30534925	30534997	35	9,2,6	15,0,0	12,0,0	4,0,0	222	139	1	1.0	0.273,1.0,1.0	0.653,NA,NA	0.105
36	"ENSMUSG00000036882"	"Arhgap33"	chr7	-	30534102	30534212	30532934	30533032	30534925	30535009	36	17,5,19	15,0,0	13,16,13	4,0,0	249	139	0.580263598143	1.0	0.388,1.0,1.0	0.645,1.0,1.0	-0.086
37	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100809083	100809279	100806533	100806760	100811305	100811435	37	396,263,263	2,0,7	412,392,259	0,0,68	335	139	0.0454702869761	0.149628333392	0.988,1.0,0.94	1.0,1.0,0.612	0.105
38	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100814595	100814766	100813682	100813971	100817008	100817085	38	699,281,219	4,0,0	574,534,359	0,0,0	310	139	1	1.0	0.987,1.0,1.0	1.0,1.0,1.0	-0.004
39	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100824915	100825001	100821118	100821206	100826451	100826518	39	381,116,205	0,0,0	355,336,285	0,8,0	225	139	0.84721668292	1.0	1.0,1.0,1.0	1.0,0.963,1.0	0.012
45	"ENSMUSG00000060275"	"Nrg2"	chr18	-	36038230	36038351	36024305	36024408	36045857	36045932	45	31,57,0	0,0,0	40,51,14	5,0,0	260	139	1	1.0	1.0,1.0,NA	0.81,1.0,1.0	0.063
47	"ENSMUSG00000052934"	"Fbxo31"	chr8	-	121564637	121564724	121560385	121560462	121566274	121566346	47	35,0,34	53,68,89	13,15,61	128,129,196	226	139	0.245058131587	0.590320041844	0.289,0.0,0.19	0.059,0.067,0.161	0.064
48	"ENSMUSG00000052934"	"Fbxo31"	chr8	-	121566274	121566346	121560385	121560462	121578457	121578747	48	123,95,135	0,7,0	206,143,239	1,0,0	211	139	0.329793526028	0.744024319959	1.0,0.899,1.0	0.993,1.0,1.0	-0.031
49	"ENSMUSG00000022247"	"Brix1"	chr15	-	10485354	10485416	10483294	10483406	10485734	10485887	49	0,0,0	443,112,246	0,0,9	211,142,464	201	139	1	1.0	0.0,0.0,0.0	0.0,0.0,0.013	-0.004
51	"ENSMUSG00000018697"	"Aatf"	chr11	-	84510198	84510417	84509658	84509796	84511482	84511578	51	419,196,323	0,0,2	443,249,496	0,0,0	358	139	1	1.0	1.0,1.0,0.984	1.0,1.0,1.0	-0.005
52	"ENSMUSG00000018697"	"Aatf"	chr11	-	84511482	84511578	84510198	84510417	84512140	84512329	52	336,120,246	4,0,0	258,106,583	1,0,0	235	139	1	1.0	0.98,1.0,1.0	0.993,1.0,1.0	-0.004
60	"ENSMUSG00000040483"	"Xaf1"	chr11	+	72304665	72304861	72303326	72303462	72306563	72306652	60	142,79,96	11,0,6	53,69,19	22,26,0	335	139	0.00623177737129	0.0277605021736	0.843,1.0,0.869	0.5,0.524,1.0	0.229
61	"ENSMUSG00000040483"	"Xaf1"	chr11	+	72306563	72306652	72303326	72303462	72308606	72308749	61	91,28,21	7,12,0	45,68,8	3,10,0	228	139	0.63024126668	1.0	0.888,0.587,1.0	0.901,0.806,1.0	-0.077
62	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711389	120711478	120710941	120711306	120711702	120711756	62	744,195,385	0,0,0	535,449,1361	0,3,0	228	139	1	1.0	1.0,1.0,1.0	1.0,0.989,1.0	0.004
63	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711389	120711501	120710941	120711306	120711702	120711983	63	327,66,143	0,0,0	192,225,597	0,3,0	251	139	1	1.0	1.0,1.0,1.0	1.0,0.976,1.0	0.008
64	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120711843	120711895	120711702	120711756	120713692	120713738	64	273,76,166	5,5,11	193,148,352	0,0,0	191	139	1.43413424136e-06	2.6199611113e-05	0.975,0.917,0.917	1.0,1.0,1.0	-0.064
65	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120712439	120712539	120711843	120711895	120713692	120713732	65	4,0,22	139,43,96	0,0,0	108,122,176	239	139	3.00674504516e-07	7.08026086457e-06	0.016,0.0,0.118	0.0,0.0,0.0	0.045
66	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120712439	120712712	120711843	120711895	120713692	120713732	66	4,2,22	139,43,96	9,0,0	108,122,176	412	139	0.000141550277203	0.00116205364726	0.01,0.015,0.072	0.027,0.0,0.0	0.023
67	"ENSMUSG00000053101"	"Gpr141"	chr13	-	19779454	19779561	19755009	19755203	19804989	19805057	67	0,0,3	7,0,0	2,0,0	2,0,0	246	139	1	1.0	0.0,NA,1.0	0.361,NA,NA	0.139
70	"ENSMUSG00000053101"	"Gpr141"	chr13	-	19804989	19805057	19779454	19779561	19824129	19824257	70	0,8,6	0,0,0	0,10,0	2,0,0	207	139	1	1.0	NA,1.0,1.0	0.0,1.0,NA	0.5
71	"ENSMUSG00000066877"	"Nck2"	chr1	+	43553860	43554582	43533551	43533793	43569147	43570515	71	335,111,124	0,0,0	226,242,324	0,0,32	861	139	4.81408885731e-05	0.000476079804945	1.0,1.0,1.0	1.0,1.0,0.62	0.127
72	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	56691744	56691882	56686005	56686061	56692520	56692721	72	9,0,4	27,3,15	9,0,0	24,32,78	277	139	0.00722153169336	0.0314544619404	0.143,0.0,0.118	0.158,0.0,0.0	0.034
73	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	56692520	56692721	56686005	56686061	56696601	56696638	73	133,24,36	109,92,169	75,32,149	141,153,228	340	139	0.831066490268	1.0	0.333,0.096,0.08	0.179,0.079,0.211	0.013
75	"ENSMUSG00000022838"	"Eaf2"	chr16	-	36810471	36810608	36808014	36808160	36824657	36824752	75	104,237,12	0,13,0	218,135,6	12,0,0	276	139	0.821553612008	1.0	1.0,0.902,1.0	0.901,1.0,1.0	0.0
76	"ENSMUSG00000022838"	"Eaf2"	chr16	-	36810471	36810608	36808014	36808160	36828050	36828227	76	76,126,12	10,0,0	160,71,6	0,7,0	276	139	0.378990067795	0.829765431751	0.793,1.0,1.0	1.0,0.836,1.0	-0.014
77	"ENSMUSG00000022838"	"Eaf2"	chr16	-	36824657	36824752	36808014	36808160	36828050	36828227	77	80,93,0	10,0,0	71,105,0	0,7,0	234	139	1	1.0	0.826,1.0,NA	1.0,0.899,NA	-0.036
78	"ENSMUSG00000022838"	"Eaf2"	chr16	-	36824657	36824752	36810471	36810608	36828050	36828227	78	108,191,0	0,0,0	129,169,0	12,0,0	234	139	1	1.0	1.0,1.0,NA	0.865,1.0,NA	0.068
79	"ENSMUSG00000063535"	"Zfp773"	chr7	-	7135291	7135418	7134166	7134250	7136432	7136724	79	53,35,43	0,0,0	24,48,37	2,0,0	266	139	1	1.0	1.0,1.0,1.0	0.862,1.0,1.0	0.046
80	"ENSMUSG00000061458"	"Nol10"	chr12	+	17368308	17368387	17362594	17362680	17369465	17369615	80	116,82,70	6,0,0	166,88,117	0,0,0	218	139	0.388342878424	0.843844723282	0.925,1.0,1.0	1.0,1.0,1.0	-0.025
85	"ENSMUSG00000078867"	"Gm14418"	chr2	-	177393293	177393395	177389821	177389858	177394696	177394751	85	14,0,10	12,0,0	14,18,0	0,0,0	241	139	1	1.0	0.402,NA,1.0	1.0,1.0,NA	-0.299
90	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144893584	144893709	144893136	144893375	144918650	144918794	90	319,88,185	12,5,1	212,131,358	2,0,2	264	139	0.00020699695546	0.00158546760673	0.933,0.903,0.99	0.982,1.0,0.99	-0.049
91	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919229	144919504	144918650	144918794	144919840	144919972	91	474,74,210	0,0,1	300,151,346	0,0,0	414	139	1	1.0	1.0,1.0,0.986	1.0,1.0,1.0	-0.005
92	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144919384	144919504	144918650	144918794	144919840	144919898	92	752,158,373	0,0,1	605,283,671	0,0,0	259	139	1	1.0	1.0,1.0,0.995	1.0,1.0,1.0	-0.002
93	"ENSMUSG00000021670"	"Hmgcr"	chr13	-	96651855	96652014	96651009	96651164	96652095	96652236	93	647,250,367	0,0,0	484,298,525	0,14,0	298	139	0.0784937459245	0.235767711299	1.0,1.0,1.0	1.0,0.908,1.0	0.031
95	"ENSMUSG00000021670"	"Hmgcr"	chr13	-	96656562	96656757	96655853	96656012	96658582	96658758	95	724,169,489	0,0,2	378,488,753	0,14,0	334	139	0.159800883642	0.419174907529	1.0,1.0,0.99	1.0,0.936,1.0	0.018
96	"ENSMUSG00000021670"	"Hmgcr"	chr13	-	96665809	96665897	96664761	96664846	96666112	96666224	96	356,98,138	0,1,0	198,243,409	0,0,0	227	139	1	1.0	1.0,0.984,1.0	1.0,1.0,1.0	-0.005
98	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75646874	75647101	75646111	75646687	75648056	75648221	98	934,358,438	8,0,0	727,581,909	0,0,0	366	139	0.912519954049	1.0	0.978,1.0,1.0	1.0,1.0,1.0	-0.007
99	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75648056	75648221	75646874	75647101	75652874	75653142	99	858,331,442	0,0,0	707,537,670	0,2,0	304	139	1	1.0	1.0,1.0,1.0	1.0,0.992,1.0	0.003
100	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75658633	75658797	75657795	75657892	75667541	75667832	100	394,110,281	0,0,0	401,159,139	0,0,34	303	139	5.68529065174e-05	0.000543752958324	1.0,1.0,1.0	1.0,1.0,0.652	0.116
101	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75699912	75700095	75694714	75695046	75713452	75713631	101	276,168,128	0,0,0	236,272,379	2,0,0	322	139	1	1.0	1.0,1.0,1.0	0.981,1.0,1.0	0.006
103	"ENSMUSG00000057841"	"Rpl32"	chr6	-	115806985	115807167	115805504	115805688	115807801	115807902	103	31498,15093,22209	8,14,0	19112,16829,29938	0,0,8	321	139	1	1.0	0.999,0.998,1.0	1.0,1.0,0.999	-0.001
105	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48490847	48490938	48488700	48489988	48493406	48493494	105	487,198,345	36,15,0	385,336,362	0,13,0	230	139	2.21330240613e-06	3.7441888597e-05	0.891,0.889,1.0	1.0,0.94,1.0	-0.053
106	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48494282	48494387	48494018	48494181	48495154	48495294	106	110,35,70	229,170,218	106,27,42	176,232,440	244	139	0.0189749256088	0.0715854401836	0.215,0.105,0.155	0.255,0.062,0.052	0.035
107	"ENSMUSG00000025474"	"Tubgcp2"	chr7	-	139997971	139998100	139996781	139996945	139998768	139998912	107	449,107,353	0,28,0	220,330,513	0,0,0	268	139	0.000160454559365	0.00128021427394	1.0,0.665,1.0	1.0,1.0,1.0	-0.112
108	"ENSMUSG00000025474"	"Tubgcp2"	chr7	-	140029826	140029986	140007886	140008094	140031010	140031187	108	399,133,275	0,0,14	313,261,498	0,0,0	299	139	0.0040576534445	0.0192309172751	1.0,1.0,0.901	1.0,1.0,1.0	-0.033
110	"ENSMUSG00000037098"	"Rab11fip3"	chr17	-	26008854	26008890	26003650	26004644	26013773	26013917	110	21,24,50	0,9,0	35,52,28	8,0,0	175	139	0.712700697653	1.0	1.0,0.679,1.0	0.777,1.0,1.0	-0.033
111	"ENSMUSG00000037098"	"Rab11fip3"	chr17	-	26011996	26012131	26008854	26008890	26013773	26013917	111	14,0,0	15,17,42	4,60,0	33,43,4	274	139	0.0890446678083	0.261121545007	0.321,0.0,0.0	0.058,0.414,0.0	-0.05
112	"ENSMUSG00000040345"	"Arhgap9"	chr10	+	127324344	127324459	127322693	127322890	127325118	127325199	112	103,7,57	0,0,10	130,53,162	0,26,0	254	139	0.766549441671	1.0	1.0,1.0,0.757	1.0,0.527,1.0	0.077
113	"ENSMUSG00000040345"	"Arhgap9"	chr10	+	127324344	127324459	127323706	127323830	127325118	127325199	113	201,38,147	111,36,33	247,95,393	65,35,24	254	139	0.00930427931755	0.0392085093617	0.498,0.366,0.709	0.675,0.598,0.9	-0.2
114	"ENSMUSG00000079334"	"Naa80"	chr9	+	107579099	107579385	107578886	107578970	107582816	107583519	114	0,0,2	0,0,0	0,0,17	0,0,17	425	139	1	1.0	NA,NA,1.0	NA,NA,0.246	0.754
115	"ENSMUSG00000079334"	"Naa80"	chr9	+	107579099	107580935	107578886	107578970	107582816	107583519	115	131,54,127	0,0,0	86,97,226	0,0,17	1975	139	0.000227245023881	0.00170941494525	1.0,1.0,1.0	1.0,1.0,0.483	0.172
